"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2000,18156,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2001,20728,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2002,27915,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2003,75620,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2004,94266.2,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2005,118471,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2006,115613,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2007,120562,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2008,141517.3,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2009,160686.739,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2010,138480.98,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2011,166289.973,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2012,171015.67,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2013,169283.879,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2014,183688.379,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2015,192430.882,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2016,185036.8,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2017,175837.87,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2018,173757.543,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2019,187965.008,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2020,176826.516,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2021,184016.189,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2022,180878.316,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2021,26.5,"Fish","Herrings, sardines, anchovies","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1992,16436,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1993,19637,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1994,19785,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1995,17680,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1996,23816,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1997,30476,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1998,29889,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1999,28919,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2000,29149,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2001,29813,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2002,33731,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2003,38882,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2004,49780,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2005,57504,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2006,119654,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2007,86883,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2008,229685,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2009,177484,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2010,167147,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2011,245788.1,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2012,247182.87,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2013,232205.959,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2014,247854.91,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2015,179072.7,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2016,194646.873,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2017,203406.7,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2018,231879.074,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2019,247797.928,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2020,263004.754,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2021,275650.045,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2022,291819.33,"Fish","Marine fishes not identified","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1992,28709,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1993,32759,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1994,37229,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1995,45625,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1996,50244,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1997,50604,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1998,61345,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1999,78720,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2000,128369,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2001,128600,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2002,154619.4,"Fish","Miscellaneous coastal fishes","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2003,250537,"Fish","Miscellaneous coastal fishes","no"
